product_id,name,category,price,stock_quantity
prd-015106c3,Profound global intranet,Electronics,6536.88,419
prd-19413b43,Horizontal 6thgeneration hub,Clothing,3806.52,259
prd-4752cfbd,Digitized executive info-mediaries,Books,3308.05,87
prd-e3bd56f6,Multi-lateral demand-driven Internet solution,Books,5910.3,459
prd-89a8da49,Optimized bi-directional strategy,Home & Kitchen,3875.2,488
prd-776fabb2,Phased modular structure,Toys,2225.19,173
prd-dac93bed,Visionary non-volatile framework,Clothing,3773.58,288
prd-4f20da5c,Customizable composite instruction set,Home & Kitchen,2162.74,29
prd-77abb7b4,Expanded discrete solution,Clothing,7394.04,361
prd-426473c4,Switchable web-enabled synergy,Books,6608.38,96
prd-43d0faf9,Mandatory exuding benchmark,Home & Kitchen,1054.41,314
prd-614bc8e4,Seamless mobile conglomeration,Home & Kitchen,2287.23,286
prd-bab383a8,Business-focused asymmetric flexibility,Home & Kitchen,8082.44,194
prd-4864a17a,Fully-configurable full-range pricing structure,Home & Kitchen,4486.44,249
prd-72598b78,Cloned zero-defect methodology,Clothing,3184.97,157
prd-759b32d2,Decentralized attitude-oriented leverage,Books,7792.78,359
prd-96af7da2,Self-enabling human-resource success,Home & Kitchen,4303.72,145
prd-4d2ed6c5,Phased reciprocal frame,Home & Kitchen,9451.7,5
prd-3a6de811,Expanded incremental product,Toys,5496.23,4
prd-0da50a3d,Vision-oriented fault-tolerant task-force,Books,7415.79,144
prd-d1410810,Extended motivating leverage,Books,1688.02,17
prd-65fa045e,Secured user-facing interface,Books,450.87,390
prd-9c6a5067,Optional 3rdgeneration portal,Home & Kitchen,9469.31,105
prd-7b72ecae,Multi-tiered mobile moratorium,Home & Kitchen,4455.86,350
prd-ffcf8c75,Operative grid-enabled ability,Electronics,610.75,451
prd-3aca52b6,Versatile 24hour ability,Books,6225.98,103
prd-a568a0f0,Devolved zero-defect data-warehouse,Clothing,434.57,35
prd-2e3232d9,Streamlined optimal synergy,Electronics,8087.6,62
prd-3d7823ce,Profit-focused exuding structure,Toys,7000.04,101
prd-13c76cf0,Progressive transitional core,Books,285.44,403
prd-e258aceb,Customer-focused uniform attitude,Electronics,1215.25,67
prd-0cb49841,Future-proofed system-worthy standardization,Clothing,4005.32,437
prd-0a14c9d0,Open-source context-sensitive intranet,Books,960.83,478
prd-aac72832,Quality-focused zero administration framework,Toys,3204.61,262
prd-56d4d0ad,Configurable intangible superstructure,Books,457.46,267
prd-bd11291c,Synergistic bifurcated portal,Toys,3904.39,113
prd-ea29b7f5,Synergistic solution-oriented software,Electronics,228.78,467
prd-c8201bf9,Customer-focused global complexity,Home & Kitchen,4357.81,67
prd-a50e9715,Extended encompassing functionalities,Electronics,8997.89,233
prd-144f03c1,User-friendly bifurcated service-desk,Toys,7787.72,410
prd-eea86096,Diverse background data-warehouse,Toys,4786.83,314
prd-21ebef58,Right-sized methodical leverage,Books,3743.41,455
prd-a0315222,Programmable bandwidth-monitored database,Home & Kitchen,3127.86,345
prd-2e0f4f1e,Extended non-volatile pricing structure,Books,3038.2,148
prd-fe42bc57,Extended empowering application,Clothing,5586.49,100
prd-08d2109b,Vision-oriented national model,Toys,4917.57,474
prd-2735f2f5,Reverse-engineered coherent migration,Toys,5139.46,404
prd-0f0a2733,Secured multimedia project,Home & Kitchen,1507.37,355
prd-c5ebaa89,Decentralized context-sensitive projection,Books,1795.23,7
prd-2301b340,Inverse needs-based concept,Electronics,191.16,60
